"id_no","sci_name","category","range_km2","protected_km2","protected_percent"
8212,"Eulemur macaco","EN",7867.67,1324.18,16.83
15657,"Otomys occidentalis","VU",10760.70,1815.52,16.87
136939,"Piliocolobus rufomitratus","CR",202.60,34.23,16.90
4232,"Cercopithecus roloway","CR",131634.97,22285.23,16.93
12765,"Smutsia temminckii","VU",6477210.54,1097043.94,16.94
4201,"Cercocebus torquatus","EN",260531.89,44622.85,17.13
18257,"Piliocolobus tholloni","VU",501824.39,86080.42,17.15
41571,"Microcebus tavaratra","VU",4254.83,731.78,17.20
9672,"Hapalemur aureus","CR",2404.49,416.95,17.34
11619,"Lepilemur microdon","EN",2517.92,438.93,17.43
7960,"Equus zebra","VU",322890.70,56449.50,17.48
7624,"Eliurus penicillatus","EN",1765.59,309.12,17.51
19852,"Salanoia concolor","VU",18616.64,3270.50,17.57
4206,"Cercocebus lunulatus","EN",164170.28,29014.15,17.67
14108,"Myosorex longicaudatus","EN",7670.60,1361.41,17.75
9678,"Hapalemur occidentalis","VU",26180.82,4750.33,18.14
18248,"Piliocolobus waldroni","CR",84203.03,15320.55,18.19
15933,"Pan troglodytes","EN",2325680.08,426870.66,18.35
4153,"Cephalophus zebra","VU",59444.82,11048.57,18.59
5582,"Crocidura stenocephala","VU",1384.15,259.84,18.77
48018096,"Otomys yaldeni","VU",7106.00,1339.28,18.85
8202,"Eulemur mongoz","CR",7934.60,1496.18,18.86
4140,"Cephalophus jentinki","EN",60084.58,11438.37,19.04
163021377,"Cheirogaleus crossleyi","VU",20631.99,3989.03,19.33
4321,"Mops tomensis","EN",643.73,127.07,19.74
10591,"Hylomyscus baeri","EN",59740.05,11919.23,19.95
16872,"Phaner furcifer","EN",20961.51,4208.97,20.08
4768,"Chlorotalpa duthieae","VU",10790.41,2245.90,20.81
54778911,"Cheirogaleus major","VU",6379.87,1340.73,21.02
12937,"Megadendromus nikolausi","VU",7020.46,1506.16,21.45
9404,"Gorilla gorilla","CR",698953.77,150309.91,21.50
18255,"Piliocolobus oustaleti","VU",426980.64,91981.57,21.54
181007989,"Loxodonta cyclotis","CR",2009305.44,437258.89,21.76
92657343,"Piliocolobus semlikiensis","VU",54447.83,12148.84,22.31
5572,"Crocidura lucina","VU",5588.75,1309.05,23.42
3748,"Canis simensis","EN",6957.91,1633.95,23.48
9194,"Giraffa camelopardalis","VU",1803870.22,423685.28,23.49
44172,"Tragelaphus derbianus","VU",388841.44,92288.45,23.73
39994,"Gorilla beringei","CR",49267.43,11802.13,23.96
18118,"Praomys morio","EN",1352.88,324.65,24.00
8210,"Eulemur sanfordi","EN",3847.67,947.79,24.63
22046,"Tragelaphus buxtoni","EN",6919.88,1765.88,25.52
59544947,"Microcebus rufus","VU",2620.16,682.46,26.05
5569,"Crocidura lanosa","VU",4829.46,1263.70,26.17
181008073,"Loxodonta africana","EN",3232074.49,866511.60,26.81
136384,"Hapalemur meridionalis","VU",11044.45,3035.29,27.48
48016232,"Otomys thomasi","VU",7730.05,2148.93,27.80
136263,"Lepilemur fleuretae","EN",1502.65,419.01,27.88
48009551,"Otomys fortior","VU",9378.62,2648.47,28.24
5594,"Crocidura thomensis","EN",845.21,241.88,28.62
4200,"Cercocebus galeritus","CR",215.98,63.72,29.50
12753,"Mandrillus leucophaeus","EN",17694.66,5334.62,30.15
16971390,"Microcebus arnholdi","VU",776.44,235.50,30.33
11034,"Kobus megaceros","EN",111315.11,34119.34,30.65
5587,"Crocidura wimmeri","VU",32612.44,10398.87,31.89
9674,"Prolemur simus","CR",1717.80,562.93,32.77
45052,"Desmomys yaldeni","EN",1321.82,433.28,32.78
12350,"Lophuromys medicaudatus","VU",7561.13,2517.80,33.30
40015,"Piliocolobus gordonorum","VU",1720.97,587.21,34.12
136369,"Avahi meridionalis","EN",1558.27,533.95,34.27
14097,"Myonycteris brachycephala","EN",693.66,240.13,34.62
41026,"Piliocolobus preussi","CR",4291.79,1520.20,35.42
5584,"Crocidura telfordi","VU",4284.69,1553.99,36.27
8206,"Eulemur collaris","EN",8187.14,2976.16,36.35
136434,"Avahi ramanantsoavanai","VU",5858.84,2181.99,37.24
44784,"Rhinolophus ruwenzorii","EN",27514.40,10512.53,38.21
21293,"Tachyoryctes macrocephalus","EN",3921.58,1510.42,38.52
2435,"Avahi occidentalis","VU",3067.56,1191.92,38.86
136311,"Lepilemur wrightae","EN",587.44,228.34,38.87
22920,"Varecia rubra","CR",5217.72,2040.11,39.10
136491,"Lepilemur jamesorum","CR",64.74,25.57,39.50
41360,"Crocidura tarella","EN",2352.18,954.21,40.57
39751,"Microcebus ravelobensis","VU",3355.83,1383.04,41.21
18359,"Propithecus edwardsi","EN",913.20,396.46,43.41
136858,"Colobus caudatus","VU",4695.98,2058.63,43.84
136731,"Lepilemur ankaranensis","EN",1586.17,719.78,45.38
12646,"Macrotarsomys ingens","EN",3015.72,1388.07,46.03
163021607,"Cheirogaleus andysabini","EN",619.76,292.22,47.15
16875,"Phaner electromontis","EN",1673.08,790.64,47.26
4151,"Cephalophus spadix","EN",6615.55,3219.42,48.66
10278,"Hybomys basilii","EN",592.87,300.98,50.77
4137,"Cephalophus adersi","VU",4994.19,2548.34,51.03
62015,"Microgale jenkinsae","EN",1390.14,717.71,51.63
6313,"Delanymys brooksi","VU",3972.93,2091.05,52.63
18360,"Propithecus candidus","CR",1368.67,728.04,53.19
44786,"Rhinolophus ziama","EN",2070.31,1105.96,53.42
21703,"Thamnomys kempi","VU",5145.09,2749.90,53.45
163020756,"Cheirogaleus shethi","EN",878.00,469.65,53.49
18256,"Piliocolobus tephrosceles","EN",3919.26,2163.86,55.21
868,"Allocebus trichotis","EN",7261.74,4120.31,56.74
44861,"Fukomys kafuensis","VU",16889.20,9965.56,59.01
136330,"Nesomys lambertoni","EN",2232.06,1318.76,59.08
4203,"Cercocebus sanjei","EN",189.32,111.98,59.15
512,"Addax nasomaculatus","CR",49756.71,29539.34,59.37
92252436,"Erythrocebus baumstarki","CR",14270.46,8701.74,60.98
14111,"Myosorex blarina","EN",2287.31,1481.83,64.79
18361,"Propithecus perrieri","CR",62.68,41.10,65.57
8834,"Galidictis grandidieri","EN",1000.13,668.17,66.81
10280,"Hybomys lunaris","VU",2231.89,1492.48,66.87
18250,"Piliocolobus bouvieri","EN",20050.10,13590.10,67.78
282614481,"Pseudoromicia kityoi","EN",445.96,309.39,69.38
136761,"Lepilemur hubbardorum","EN",213.99,148.77,69.52
163314538,"Microcebus simmonsi","EN",741.72,518.18,69.86
136335,"Avahi cleesei","CR",462.30,329.09,71.18
41572,"Microcebus sambiranensis","EN",709.61,505.46,71.23
277177844,"Mus harennensis","VU",1321.87,952.49,72.06
16971489,"Lepilemur hollandorum","CR",283.74,211.26,74.46
136309,"Rhynchocyon udzungwensis","VU",322.48,243.07,75.37
136254,"Lepilemur randrianasoloi","EN",1894.75,1493.63,78.83
29462,"Microgale monticola","VU",764.04,608.07,79.59
10141,"Hipposideros lamottei","CR",78.02,66.43,85.15
45069,"Otomys barbouri","EN",400.78,342.86,85.55
45954374,"Myosorex bururiensis","VU",27.53,24.76,89.95
9456,"Grammomys gigas","EN",1925.03,1733.48,90.05
3797,"Capra walie","CR",143.50,131.51,91.64
48018185,"Otomys zinki","VU",1568.17,1459.56,93.07
5635,"Crocidura macowi","EN",421.96,399.65,94.71
5592,"Crocidura raineyi","EN",191.74,186.66,97.35
44781,"Rhinolophus hilli","EN",1022.61,1006.87,98.46
45954382,"Myosorex gnoskei","EN",3137.09,3093.84,98.62
5633,"Crocidura harenna","CR",108.63,107.97,99.39
16971566,"Avahi mooreorum","EN",1959.26,1959.13,99.99
16971518,"Lepilemur scottorum","EN",1959.25,1959.12,99.99
277177486,"Chingawaemys rarus","CR",88.07,88.07,100.00
6439,"Dendromus kahuziensis","CR",75.51,75.51,100.00
9676,"Hapalemur alaotrensis","CR",217.52,217.52,100.00
14106,"Myosorex eisentrauti","CR",49.74,49.74,100.00
82347204,"Rhinolophus kahuzi","EN",1.00,1.00,100.00
